都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,設置位置,電話番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無
403458,0000000001,福岡県,新宮町,新宮町役場,シングウマチヤクバ,福岡県糟屋郡新宮町緑ケ浜一丁目1-1,33.715311,130.446596,１階ロビー,(092)962-0231,新宮町,月火水木金,08:30,17:00,祝・休日、12/29～1/3を除く,有
403458,0000000002,福岡県,新宮町,新宮町福祉センター,シングウマチフクシセンター,福岡県糟屋郡新宮町緑ケ浜四丁目3-1,33.711154,130.444038,２階玄関,(092)710-8286,新宮町,月水木金土,09:00,17:00,祝日、日曜日、12/29～1/3を除く,有
403458,0000000003,福岡県,新宮町,新宮町立相島診療所,シングウチョウリツアイノシマシンリョウショ,福岡県糟屋郡新宮町大字相島1401,33.757013,130.363764,,(092)962-4361,新宮町,月火水木金土,09:00,17:00,祝・休日、12/29～1/3を除く,有
403458,0000000004,福岡県,新宮町,ふれあい交流館,フレアイコウリュウカン,福岡県糟屋郡新宮町大字三代1095,33.700628,130.458956,玄関,(092)963-5500,新宮町,火水木金土日,08:30,17:15,12/29～1/3を除く,有
403458,0000000005,福岡県,新宮町,新宮渡船待合所,シングウトセンマチアイショ,福岡県糟屋郡新宮町大字湊437-2,33.717584,130.424023,,(092)962-0238,新宮町,月火水木金土日,07:00,18:00,渡船運航時のみ利用可能,有
403458,0000000006,福岡県,新宮町,渡船しんぐう,トセンシングウ,福岡県糟屋郡新宮町大字相島1382-3,33.757459,130.364080,,(092)962-0238,新宮町,月火水木金土日,07:00,18:00,渡船運航時のみ利用可能,有
403458,0000000007,福岡県,新宮町,相島保育所,アイノシマホイクショ,福岡県糟屋郡新宮町大字相島1376-1,33.756731,130.364425,職員室,(092)962-0021,新宮町,月火水木金土,08:30,16:30,土曜日は8:30～12:00,有
403458,0000000008,福岡県,新宮町,シーオーレ新宮,シーオーレシングウ,福岡県糟屋郡新宮町新宮東二丁目5-1,33.705421,130.448227,１階ロビー,(092)963-2995,新宮町,月火水木金土日,08:30,22:00,12/28～1/4を除く,有
403458,0000000009,福岡県,新宮町,アクア新宮,アクアシングウ,福岡県糟屋郡新宮町中央駅前二丁目7-1,33.710152,130.452449,エントランス,(092)962-9016,新宮町,月火水木金土日,08:30,17:00,土日は鍵を貸している場合のみ使用可能,有
403458,0000000010,福岡県,新宮町,立花幼稚園,タチバナヨウチエン,福岡県糟屋郡新宮町大字原上133-2,33.689644,130.466437,職員室前,(092)962-0808,新宮町,月火水木金,08:30,17:00,祝・休日を除く,有
403458,0000000011,福岡県,新宮町,新宮幼稚園,シングウヨウチエン,福岡県糟屋郡新宮町緑ケ浜一丁目1-3,33.714578,130.445199,職員室,(092)962-1275,新宮町,月火水木金,08:30,17:00,祝・休日を除く,有
403458,0000000012,福岡県,新宮町,立花小学校,タチバナショウガッコウ,福岡県糟屋郡新宮町大字立花口1072-3,33.689952,130.46764,保健室前,(092)963-0030,新宮町,月火水木金,08:25,16:55,祝・休日を除く,有
403458,0000000013,福岡県,新宮町,新宮小学校,シングウショウガッコウ,福岡県糟屋郡新宮町下府三丁目12-1,33.708919,130.440429,職員室前,(092)963-0025,新宮町,月火水木金,08:15,16:45,祝・休日を除く,有
403458,0000000014,福岡県,新宮町,新宮東小学校,シングウヒガシショウガッコウ,福岡県糟屋郡新宮町新宮東四丁目8-1,33.705701,130.451351,保健室前,(092)963-1777,新宮町,月火水木金,08:30,17:00,祝・休日を除く,有
403458,0000000015,福岡県,新宮町,新宮北小学校,シングウキタショウガッコウ,福岡県糟屋郡新宮町上府北一丁目16-1,33.716485,130.453867,保健室前,(092)963-4700,新宮町,月火水木金,08:25,16:55,祝・休日を除く,有
403458,0000000016,福岡県,新宮町,相島小学校,アイノシマショウガッコウ,福岡県糟屋郡新宮町大字相島296-1,33.761298,130.368921,職員室前,(092)963-0225,新宮町,月火水木金,08:10,16:40,祝・休日を除く,有
403458,0000000017,福岡県,新宮町,新宮中学校本校,シングウチュウガッコウホンコウ,福岡県糟屋郡新宮町下府二丁目1-1,33.710133,130.444148,正面玄関,(092)963-0035,新宮町,月火水木金,08:20,16:50,祝・休日を除く,有
403458,0000000018,福岡県,新宮町,新宮中学校本校（昇降口）,シングウチュウガッコウホンコウ（ショウコウグチ）,福岡県糟屋郡新宮町下府二丁目1-1,33.710133,130.444148,東側昇降口,(092)963-0035,新宮町,月火水木金,08:20,16:50,祝・休日を除く,有
403458,0000000019,福岡県,新宮町,新宮中学校相島分校,シングウチュウガッコウアイノシマブンコウ,福岡県糟屋郡新宮町大字相島735,33.761646,130.367379,多目的ホール入口,(092)963-0150,新宮町,月火水木金,08:15,16:45,祝・休日を除く,有
403458,0000000020,福岡県,新宮町,新宮東中学校,シングウヒガシチュウガッコウ,福岡県糟屋郡新宮町大字三代1028,33.701802,130.456649,保健室前,(092)963-0085,新宮町,月火水木金,08:20,16:50,祝・休日を除く,有
403458,0000000021,福岡県,新宮町,そぴあしんぐう,ソピアシングウ,福岡県糟屋郡新宮町新宮東四丁目1-1,33.707192,130.452628,受付窓口前,(092)962-5111,新宮町,火水木金土日,09:00,22:00,月曜休館、12/28～1/4を除く,有
403458,0000000022,福岡県,新宮町,新宮町研修所,シングウマチケンシュウショ,福岡県糟屋郡新宮町下府二丁目2-10,33.709611,130.446589,玄関,(092)962-5111,新宮町,月火水木金土日,09:00,22:00,12/29～1/3を除く,有
403458,0000000023,福岡県,新宮町,杜の宮運動施設管理棟,モリノミヤウンドウシセツカンリトウ,福岡県糟屋郡新宮町杜の宮二丁目13-1,33.715563,130.440165,管理棟内,(092)963-5531,新宮町,月火水木金土日,08:00,22:00,12/29～1/3を除く,有
403458,0000000024,福岡県,新宮町,ふれあいの丘管理棟,フレアイノオカカンリトウ,福岡県糟屋郡新宮町大字三代1032-1,33.701304,130.458380,管理棟内,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,12/29～1/3を除く,有
403458,0000000025,福岡県,新宮町,立花小学校体育館,タチバナショウガッコウタイイクカン,福岡県糟屋郡新宮町大字立花口1072-3,33.690041,130.466953,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000026,福岡県,新宮町,新宮小学校体育館,シングウショウガッコウタイイクカン,福岡県糟屋郡新宮町下府三丁目12-1,33.709592,130.440794,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000027,福岡県,新宮町,新宮東小学校体育館,シングウヒガシショウガッコウタイイクカン,福岡県糟屋郡新宮町新宮東四丁目8-1,33.705925,130.451898,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000028,福岡県,新宮町,新宮北小学校体育館,シングウキタショウガッコウタイイクカン,福岡県糟屋郡新宮町上府北一丁目16-1,33.716936,130.453094,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000029,福岡県,新宮町,新宮中学校体育館,シングウチュウガッコウタイイクカン,福岡県糟屋郡新宮町下府二丁目1-1,33.710641,130.443435,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000030,福岡県,新宮町,新宮東中学校体育館,シングウヒガシチュウガッコウタイイクカン,福岡県糟屋郡新宮町大字三代1028,33.701802,130.456649,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
